VARDED_first12
text,entry,filename
"Rose daughter of walter Ball of Dublin alderman and mayor, and wife to Luke Challoner doctor of Divinity by whom she had issue divers children (all dead young one daughter excepted named Phoebe) deceased of the plague the six and twentieth of October ano 1604. and is buried in Trinity college by Dublin with most of her issue.",0,0001_NLI_GO_MS_66_0001r
"Mary daughter of James Rian sometime d'lireve of Dublin and wife to Richard noble gentleman, deceased at Thri- stledermotte in December the yeere of grace 1604. and is bur.: in Dublin.",1,0001_NLI_GO_MS_66_0001r
"Mary Lady Tyrell, dr. of Walter Segrave alderman mayor[r] of Dublin, & wife[fe] to Sir John Tyrell Knight alderman: and mayor of the same city: deceased in December 1604. and is, bur[ied in St. Audoens, church. She had issue walter, Matthew Richard, Edward, Cicilie (wife to Nichas Stevens, some time shrieve of Dublin) Margaret. and three more dead in their infancie.",2,0002_NLI_GO_MS_66_0001v
"Martin Blake of Athboy, learned in the laws, was bur[ied] in the church of Athboy the third of March 1604 He had to wife Elizabeth daughter of Michael Fitz- Fitz-williams of Donamor, second son of Richard of Merion.",3,0002_NLI_GO_MS_66_0001v
Peter Bolton provost marshall of Leinster deceased the fourth of March 1604. of a wound which some days be- fore he received in the streets of Dublin.,4,0003_NLI_GO_MS_66_0002r
"Adam Loftus 20: Archbishop[ishop] of Dublin & Lo[rd] Chancellor and thrice Lord[rd] Justice of Ireland had to wife jane da of James Pourdon gent. by whom he had issue Sir Dudley Loftus[tus[  Sr Edward Loftus[ftus] Capt. Adam Loftus[ftus]  Sr Thomas Loftus knight and Henry Loftus, besides many other sons dead young: Margaret. wife to Sir George Colley Knight, Isabel",5,0003_NLI_GO_MS_66_0002r
"Isabel to Sr. William Ussher Knight, Also to Sr Henry Warren Knight, Martha to Sr. Thomas Colclough Knight Anne first to cap. Henry Colley, 2. to Capn. George Blounte, and 3. to St. Edward Blaney Knight, Jane Sr. Francis Berkley Knight, and Dorothie to St. John More Knight. The Lo: Chancellor deceased at St. Sepulchers the first of April 1605. the 72. year of his age, the 24 year of his Chancellorship and of his consecration, and is buried in St. Paterickes Dublin.",6,0004_NLI_GO_MS_66_0002v
"Winifrid, dr of Antonio Toto a Florentin, of K. H. vm. privy chamber and his Sergeant painter) and wife: to St. Charles, Calthorpe Knight (sometime Attorney) general and now one of the justice of the common plea's deceased the first of August 1605. She left no issue by S. Charles",7,0004_NLI_GO_MS_66_0002v
"William Fitz williams of Jobston deceased of the pleasure at: Merion the xxiij. of Aug: 1605: he did a few weeks before many Bonnet dr. of Gerald Birne of Ballyhorsee and had no issue, he is bur: in the church of Talaugh",8,0005_NLI_GO_MS_66_0003r
"S. George Bourchier Knight master of the Ordinance and of the privy Council of Ireland, z. son to John: Earl Bath, had to wife Martha sister of Charles, howard (E of Notingham: etc. by whom He left issue Thomas John and Henry, He deceased the xxiiii. September: 1605. and is buried in Christchurch Dublin. Also verfol 42",9,0005_NLI_GO_MS_66_0003r
James Taylour shrieve of Dublin deceased the twentieth of December 1605.,10,0006_NLI_GO_MS_66_0003v
"John Barnewall of Brimore had to wife: Eleonor dr of Sr. James Dowdall k. chief just: of y kings, bench's by whom He had issue james, Richard, K Edward, Peter, Paterick, Robart & Andrew: Margaret. wife: to Edward: Taafe of Gookeston. Mary to La-Pleminge of Derpatrick, Elizabeth: to Rich: Wernon of Stabanan, Isma, Ales, Katherin, Anne, Brigid, Ursula, & Eleonor. He deceased at Brimore etc. xii. of February: 1605. & is. bur: at Balrothrie.",11,0006_NLI_GO_MS_66_0003v
